FID,REPDIST,PREC,APREC,BUREAU,BASICCAR,AREA,PERIMETER,SHAPE_Length,SHAPE_Area
1051,237,2,RAMPART,CENTRAL BUREAU,2A39,7652532.40932,13217.8478601,0.0397938653621775,6.94279546331718e-05
1052,111,1,CENTRAL,CENTRAL BUREAU,1A1,10739177.2172,14217.8690155,0.0428471231258836,9.74310563905187e-05
1053,239,2,RAMPART,CENTRAL BUREAU,2A39,2519336.95683,7341.79016308,0.0218258347932779,2.28564753392544e-05
1054,121,1,CENTRAL,CENTRAL BUREAU,1A1,1230388.97382,5142.19225948,0.015657251494615,1.11624982470486e-05
1055,119,1,CENTRAL,CENTRAL BUREAU,1A1,9386451.59633,12154.6939713,0.0367775427615536,8.51544923662226e-05
1056,112,1,CENTRAL,CENTRAL BUREAU,1A1,1796705.31894,7864.48156154,0.0239378257143031,1.62997136828819e-05
1057,122,1,CENTRAL,CENTRAL BUREAU,1A1,2213827.83082,6123.6850111,0.0187665916468355,2.00838865041053e-05
1058,131,1,CENTRAL,CENTRAL BUREAU,1A1,686369.334836,3574.69632034,0.010799170775557,6.22672734419003e-06
1059,249,2,RAMPART,CENTRAL BUREAU,2A69,4349231.33427,8700.79729489,0.0264309767801163,3.94549008231508e-05
1060,132,1,CENTRAL,CENTRAL BUREAU,1A1,2528816.42141,6577.58245185,0.0201010263070865,2.29407763590987e-05
1061,123,1,CENTRAL,CENTRAL BUREAU,1A1,1258522.99196,4692.64199089,0.0141065627094094,1.14169286024265e-05
1062,141,1,CENTRAL,CENTRAL BUREAU,1A41,777334.460961,3965.97842697,0.0119799571208932,7.05173812729156e-06
1063,142,1,CENTRAL,CENTRAL BUREAU,1A41,2701119.7566,6759.55315566,0.0206180773971675,2.45030710456823e-05
1064,127,1,CENTRAL,CENTRAL BUREAU,1A1,1191079.45985,5435.81390827,0.0159652216805706,1.08049077771302e-05
1065,124,1,CENTRAL,CENTRAL BUREAU,1A1,1137909.19188,4454.69563217,0.0133406755466314,1.03225509937784e-05
1066,129,1,CENTRAL,CENTRAL BUREAU,1A29,5013662.69058,9131.44088395,0.0280224406168551,4.54807204816295e-05
1067,269,2,RAMPART,CENTRAL BUREAU,2A69,3274749.3533,7893.17665586,0.024669996025343,2.97062904778147e-05
1068,133,1,CENTRAL,CENTRAL BUREAU,1A1,547636.708199,2980.09174787,0.00907846788722799,4.96784109445006e-06
1069,151,1,CENTRAL,CENTRAL BUREAU,1A41,927397.215974,4294.36452556,0.0133214558567429,8.41275358000922e-06
1070,128,1,CENTRAL,CENTRAL BUREAU,1A29,1534550.41658,6220.69554498,0.0184083137288713,1.3920227028363e-05
1071,152,1,CENTRAL,CENTRAL BUREAU,1A41,2738637.49582,6805.45070108,0.0207776033195514,2.48425571499383e-05
1072,135,1,CENTRAL,CENTRAL BUREAU,1A35,1209229.76954,4457.02467121,0.0134333175219705,1.0969145576033e-05
1073,134,1,CENTRAL,CENTRAL BUREAU,1A41,549437.399759,2965.45748275,0.00902846695516941,4.98408727852037e-06
1074,279,2,RAMPART,CENTRAL BUREAU,2A91,2498007.82806,6612.28355904,0.0205412899042489,2.26595133596091e-05
1075,161,1,CENTRAL,CENTRAL BUREAU,1A61,1516832.51541,5131.78477548,0.015974111175972,1.3759269376365e-05
1076,138,1,CENTRAL,CENTRAL BUREAU,1A29,3051487.4774,7602.68820846,0.0231090129347156,2.7679688276238e-05
1077,143,1,CENTRAL,CENTRAL BUREAU,1A41,541462.125423,2982.99963233,0.00907209583948563,4.91165866791643e-06
1078,162,1,CENTRAL,CENTRAL BUREAU,1A61,2746906.05468,6947.81399606,0.0212225044698251,2.49166886171496e-05
1079,139,1,CENTRAL,CENTRAL BUREAU,1A29,5260114.41429,9422.14347223,0.0286635171588141,4.77130017154459e-05
1080,144,1,CENTRAL,CENTRAL BUREAU,1A35,277680.360138,2165.85851993,0.00654784050544287,2.51883012930022e-06
1081,153,1,CENTRAL,CENTRAL BUREAU,1A41,1098259.89374,4285.96229637,0.0129598342763852,9.96216893313947e-06
1082,145,1,CENTRAL,CENTRAL BUREAU,1A35,253475.076426,2107.38998062,0.00636380606421456,2.29924972137108e-06
1083,171,1,CENTRAL,CENTRAL BUREAU,1A61,1977679.86278,5713.30970198,0.0178981072961481,1.79390515624774e-05
1084,289,2,RAMPART,CENTRAL BUREAU,2A91,1841081.81806,5490.25136108,0.0167767230849906,1.66999271062135e-05
1085,154,1,CENTRAL,CENTRAL BUREAU,1A35,521026.459957,2908.42811368,0.008828072302406,4.72612816702551e-06
1086,146,1,CENTRAL,CENTRAL BUREAU,1A35,403619.558609,2501.92514789,0.00760913377564715,3.66115701135669e-06
1087,147,1,CENTRAL,CENTRAL BUREAU,1A35,377320.39824,2507.29768603,0.00762469920809368,3.42256591744104e-06
1088,182,1,CENTRAL,CENTRAL BUREAU,1A61,5340825.51163,9237.29712354,0.0281523956726308,4.84432316083952e-05
1089,155,1,CENTRAL,CENTRAL BUREAU,1A35,459523.077727,2707.91917034,0.00823537284394749,4.16818386776837e-06
1090,164,1,CENTRAL,CENTRAL BUREAU,1A35,498103.811233,2823.28245876,0.00859807100721092,4.51812109580709e-06
1091,163,1,CENTRAL,CENTRAL BUREAU,1A85,1110327.77031,4334.59666431,0.0130740022633322,1.00712868480964e-05
1092,148,1,CENTRAL,CENTRAL BUREAU,1A29,886472.451749,4208.36210714,0.0126582283844717,8.04080680012467e-06
1093,181,1,CENTRAL,CENTRAL BUREAU,1A61,2017641.16779,6035.12625112,0.018668159667917,1.83009797289694e-05
1094,159,1,CENTRAL,CENTRAL BUREAU,1A29,9320112.98108,13249.0529191,0.0397681556054709,8.45334511053888e-05
1095,156,1,CENTRAL,CENTRAL BUREAU,1A35,491835.130486,2827.68687568,0.00859345689126922,4.46121777214687e-06
1096,299,2,RAMPART,CENTRAL BUREAU,2A91,3745709.35549,7925.42238421,0.0240111948250669,3.39744342774937e-05
1097,165,1,CENTRAL,CENTRAL BUREAU,1A35,492031.072014,2810.40812464,0.0085622101884697,4.46297465081468e-06
1098,174,1,CENTRAL,CENTRAL BUREAU,1A85,800202.411041,3927.56413994,0.0119187984390051,7.25818395516698e-06
1099,157,1,CENTRAL,CENTRAL BUREAU,1A29,1477157.52588,5102.94733732,0.0153458190646672,1.33982947796242e-05
1100,158,1,CENTRAL,CENTRAL BUREAU,1A29,3199973.54383,8726.21194808,0.0255310457743317,2.90240243999042e-05
1101,166,1,CENTRAL,CENTRAL BUREAU,1A35,519506.979411,2860.16312246,0.00867836255011783,4.71211401538017e-06
1102,176,1,CENTRAL,CENTRAL BUREAU,1A85,2395318.68547,6244.1900916,0.0190020602098611,2.17260017887373e-05
1103,185,1,CENTRAL,CENTRAL BUREAU,1A85,4384450.55325,8558.1061246,0.0258578253110835,3.97670026357908e-05
1104,191,1,CENTRAL,CENTRAL BUREAU,1A61,3332781.26291,7784.01518267,0.0228678221174629,3.02283698298997e-05
1105,1307,13,NEWTON,CENTRAL BUREAU,13A9,7460918.98993,12473.1907241,0.0371483854084013,6.76674613246681e-05
1106,192,1,CENTRAL,CENTRAL BUREAU,1A61,4993851.07748,8985.98521535,0.0271482315971925,4.52929382984413e-05
1107,1303,13,NEWTON,CENTRAL BUREAU,13A13,6592660.50957,11040.8791285,0.0337111012896644,5.97922350820678e-05
1108,195,1,CENTRAL,CENTRAL BUREAU,1A85,4359526.10156,8526.26306362,0.0258549459049426,3.9538435581669e-05
1109,1313,13,NEWTON,CENTRAL BUREAU,13A13,11100501.4565,13635.8488138,0.0419762933550473,0.000100669342267758
1110,1321,13,NEWTON,CENTRAL BUREAU,13A13,9018995.38329,12059.4766533,0.0366662143794462,8.17927210967921e-05
1111,2101,21,TOPANGA,VALLEY BUREAU,21A1,59673259.5378,41092.7867465,0.127942772537942,0.000542499510906444
1112,2102,21,TOPANGA,VALLEY BUREAU,21A1,21506362.8922,35228.2755206,0.108919363270039,0.000195495017404987
1113,2111,21,TOPANGA,VALLEY BUREAU,21A1,43168984.6958,42695.2778901,0.13287861764275,0.000392361047048052
1114,2132,21,TOPANGA,VALLEY BUREAU,21A1,23223469.8605,19010.0626886,0.0575162589791744,0.000211049860953078
1115,2131,21,TOPANGA,VALLEY BUREAU,21A1,12203646.3286,14840.096992,0.0445157954367405,0.000110901803303999
1116,1128,11,NORTHEAST,CENTRAL BUREAU,11A25,10404610.1981,17466.3365964,0.0513508773096035,9.44647609403132e-05
1117,1129,11,NORTHEAST,CENTRAL BUREAU,11A25,13764171.2082,17654.4546395,0.0530037285463803,0.000124961283821346
1118,1139,11,NORTHEAST,CENTRAL BUREAU,11A37,5809081.91271,12173.4794529,0.0368065459585605,5.2733064500645e-05
1119,405,4,HOLLENBECK,CENTRAL BUREAU,4A3,503156.426712,3456.82953236,0.0108249127433029,4.56761702604515e-06
1120,404,4,HOLLENBECK,CENTRAL BUREAU,4A3,9498429.10747,17379.2795888,0.052277577293716,8.6219925621037e-05
1121,406,4,HOLLENBECK,CENTRAL BUREAU,4A3,10660654.546,15084.1536167,0.0444284078140411,9.67608783001067e-05
1122,418,4,HOLLENBECK,CENTRAL BUREAU,4A9,9434487.00373,15318.6295101,0.0456137374638273,8.56283321512552e-05
1123,409,4,HOLLENBECK,CENTRAL BUREAU,4A9,10228044.6017,13958.3779637,0.0431187637104781,9.28307438510044e-05
1124,1415,14,PACIFIC,WEST BUREAU,14A25,12609181.6832,15423.7493491,0.0475293569959544,0.00011431668644993
1125,1414,14,PACIFIC,WEST BUREAU,14A13,6904250.06113,11515.0765607,0.0347450843973179,6.25906922426197e-05
1126,1413,14,PACIFIC,WEST BUREAU,14A13,6178644.62927,11204.4353295,0.0341236534970462,5.60113139315927e-05
1127,1412,14,PACIFIC,WEST BUREAU,14A11,4634456.09278,10261.2586867,0.0310290296269737,4.20116191921106e-05
1128,1411,14,PACIFIC,WEST BUREAU,14A11,2129025.02933,8327.61778657,0.0247109334318295,1.9299387769633e-05
1129,1431,14,PACIFIC,WEST BUREAU,14A11,6243299.19222,10787.7123293,0.0336127279586094,5.65922896508097e-05
1130,1826,18,SOUTHEAST,SOUTH BUREAU,18A26,6859689.84157,11562.6111063,0.033722848996493,6.2150067224294e-05
1131,1838,18,SOUTHEAST,SOUTH BUREAU,18A49,3724024.17978,8071.19746027,0.0238456794626629,3.3736861193739e-05
1132,1839,18,SOUTHEAST,SOUTH BUREAU,18A49,4250523.01082,8695.49482243,0.0252423477305253,3.85061210038372e-05
1133,1849,18,SOUTHEAST,SOUTH BUREAU,18A49,6453089.34528,10688.060301,0.0322156303046831,5.8455050228299e-05
1134,1827,18,SOUTHEAST,SOUTH BUREAU,18A26,8831081.85438,13031.5660603,0.0389160814815815,8.00113967453485e-05
1135,1829,18,SOUTHEAST,SOUTH BUREAU,18A26,5012223.40136,9183.15924643,0.0281777452859959,4.54100938273026e-05
