FID,REPDIST,PREC,APREC,BUREAU,BASICCAR,AREA,PERIMETER,SHAPE_Length,SHAPE_Area
880,1432,14,PACIFIC,WEST BUREAU,14A13,6140022.899,10625.2609316,0.0327988201020416,5.56598413798627e-05
881,1457,14,PACIFIC,WEST BUREAU,14A49,6685327.34338,12171.0314793,0.0364630710434794,6.06016151873216e-05
882,1455,14,PACIFIC,WEST BUREAU,14A45,13139111.0857,18584.1790378,0.0561427803431613,0.00011910013940075
883,1211,12,77TH STREET,SOUTH BUREAU,12A31,14004295.882,17854.4026799,0.0559680394083024,0.000126948076128637
884,1468,14,PACIFIC,WEST BUREAU,14A49,2463612.31028,6131.6102686,0.0184216391874848,2.2332696707066e-05
885,1453,14,PACIFIC,WEST BUREAU,14A45,8128697.50003,13112.449814,0.0403404695526871,7.36847500073282e-05
886,1373,13,NEWTON,CENTRAL BUREAU,13A85,6269525.27202,10120.7640009,0.0307772887167976,5.68331198702603e-05
887,1219,12,77TH STREET,SOUTH BUREAU,12A15,1591601.11909,6102.73759658,0.0174999008541018,1.44278146141228e-05
888,1371,13,NEWTON,CENTRAL BUREAU,13A85,4633098.6316,8741.46327423,0.0262063065203905,4.19988605301361e-05
889,1218,12,77TH STREET,SOUTH BUREAU,12A15,6176378.23476,10098.5121407,0.0306943430517144,5.59885232088465e-05
890,1372,13,NEWTON,CENTRAL BUREAU,13A85,5827067.40691,9699.03499463,0.0295750273265605,5.28220559140409e-05
891,1213,12,77TH STREET,SOUTH BUREAU,12A3,8256593.10974,11963.0724882,0.0370913137020119,7.48454335909345e-05
892,1215,12,77TH STREET,SOUTH BUREAU,12A15,8539192.19904,12243.2542683,0.0380157360723728,7.74072127247808e-05
893,1375,13,NEWTON,CENTRAL BUREAU,13A75,5113344.18756,9154.57060445,0.0280614865987046,4.6352175051737e-05
894,1377,13,NEWTON,CENTRAL BUREAU,13A75,5591826.56605,9724.7680575,0.029934573131228,5.06894850206542e-05
895,1444,14,PACIFIC,WEST BUREAU,14A45,6777796.85511,14374.6867803,0.0446484104697679,6.14370063225824e-05
896,1465,14,PACIFIC,WEST BUREAU,14A49,11262783.202,16873.5160024,0.0523661328092916,0.000102089169772819
897,1454,14,PACIFIC,WEST BUREAU,14A45,18980837.7841,18153.5387833,0.0552506780161709,0.000172041567465102
898,1441,14,PACIFIC,WEST BUREAU,14A11,9838253.14979,13824.4823569,0.0429685673114031,8.91747681601672e-05
899,1231,12,77TH STREET,SOUTH BUREAU,12A31,12716631.6766,18196.397379,0.0569323602397285,0.000115265913883256
900,1385,13,NEWTON,CENTRAL BUREAU,13A85,10509217.6128,13412.5785447,0.0413953731570251,9.52579903501981e-05
901,1233,12,77TH STREET,SOUTH BUREAU,12A45,8388076.01448,12235.027484,0.0379988215166215,7.60319745737462e-05
902,1383,13,NEWTON,CENTRAL BUREAU,13A93,6529526.4474,10141.3458506,0.030751595904519,5.9185234167413e-05
903,1232,12,77TH STREET,SOUTH BUREAU,12A31,7997518.56665,14836.8836539,0.0474927428090862,7.24927232857601e-05
904,1235,12,77TH STREET,SOUTH BUREAU,12A45,5676611.30359,9577.71925892,0.0292363117410447,5.14544410748896e-05
905,1381,13,NEWTON,CENTRAL BUREAU,13A93,1426706.15528,5619.45092329,0.0161742521382086,1.29320839331827e-05
906,1239,12,77TH STREET,SOUTH BUREAU,12A49,9751333.05144,13919.0337981,0.0433763300907149,8.83890153964793e-05
907,1463,14,PACIFIC,WEST BUREAU,14A45,10170688.3779,18321.4828102,0.0569691052763471,9.21811302816184e-05
908,1242,12,77TH STREET,SOUTH BUREAU,12A51,7035581.97978,10612.399731,0.0320900364657662,6.37692027513003e-05
909,1241,12,77TH STREET,SOUTH BUREAU,12A51,8385793.69511,12611.4921414,0.0386879362901419,7.60074760139269e-05
910,1464,14,PACIFIC,WEST BUREAU,14A45,16128300.2666,24879.0671031,0.0776488167906945,0.000146174039176913
911,1248,12,77TH STREET,SOUTH BUREAU,12A49,4534815.52191,9325.88505309,0.0271306140741042,4.11013996774423e-05
912,1243,12,77TH STREET,SOUTH BUREAU,12A45,12687605.0669,14355.3998808,0.0438293007038112,0.000114994114012735
913,1245,12,77TH STREET,SOUTH BUREAU,12A45,12409815.424,14218.1235785,0.043433270105192,0.000112476296201392
